amfi_code,amc_name,sebi_category,plan,option
100104,Aditya Birla Sun Life MF,Large Cap Fund,Regular,Growth
100128,Aditya Birla Sun Life MF,Large Cap Fund,Regular,IDCW
100134,Aditya Birla Sun Life MF,Large Cap Fund,Regular,Growth
100137,Aditya Birla Sun Life MF,Large Cap Fund,Regular,Growth
100162,Aditya Birla Sun Life MF,Large Cap Fund,Direct,Growth
100177,Aditya Birla Sun Life MF,Mid Cap Fund,Regular,IDCW
100188,Aditya Birla Sun Life MF,Mid Cap Fund,Regular,IDCW
100193,Aditya Birla Sun Life MF,Mid Cap Fund,Direct,IDCW
100220,Aditya Birla Sun Life MF,Mid Cap Fund,Direct,IDCW
100231,Aditya Birla Sun Life MF,Mid Cap Fund,Direct,IDCW
100236,Aditya Birla Sun Life MF,Small Cap Fund,Regular,Growth
100263,Aditya Birla Sun Life MF,Small Cap Fund,Regular,Growth
100282,Aditya Birla Sun Life MF,Small Cap Fund,Regular,Growth
100294,Aditya Birla Sun Life MF,Small Cap Fund,Regular,IDCW
100317,Aditya Birla Sun Life MF,Small Cap Fund,Regular,IDCW
100338,Aditya Birla Sun Life MF,Liquid Fund,Direct,Growth
100356,Aditya Birla Sun Life MF,Liquid Fund,Regular,IDCW
100362,Aditya Birla Sun Life MF,Liquid Fund,Regular,Growth
100386,Aditya Birla Sun Life MF,Liquid Fund,Regular,IDCW
100401,Aditya Birla Sun Life MF,Liquid Fund,Regular,IDCW
100421,Aditya Birla Sun Life MF,Aggressive Hybrid Fund,Regular,IDCW
100441,Aditya Birla Sun Life MF,Aggressive Hybrid Fund,Direct,Growth
100452,Aditya Birla Sun Life MF,Aggressive Hybrid Fund,Direct,Growth
100464,Aditya Birla Sun Life MF,Aggressive Hybrid Fund,Direct,IDCW
100469,Aditya Birla Sun Life MF,Aggressive Hybrid Fund,Regular,IDCW
100475,Axis Mutual Fund,Large Cap Fund,Direct,IDCW
100500,Axis Mutual Fund,Large Cap Fund,Regular,IDCW
100526,Axis Mutual Fund,Large Cap Fund,Regular,Growth
100541,Axis Mutual Fund,Large Cap Fund,Regular,Growth
100570,Axis Mutual Fund,Large Cap Fund,Direct,Growth
100589,Axis Mutual Fund,Mid Cap Fund,Regular,IDCW
100611,Axis Mutual Fund,Mid Cap Fund,Regular,Growth
100632,Axis Mutual Fund,Mid Cap Fund,Direct,Growth
100658,Axis Mutual Fund,Mid Cap Fund,Regular,IDCW
100675,Axis Mutual Fund,Mid Cap Fund,Direct,IDCW
100684,Axis Mutual Fund,Small Cap Fund,Regular,Growth
100695,Axis Mutual Fund,Small Cap Fund,Regular,Growth
100711,Axis Mutual Fund,Small Cap Fund,Regular,IDCW
100716,Axis Mutual Fund,Small Cap Fund,Direct,IDCW
100720,Axis Mutual Fund,Small Cap Fund,Regular,Growth
100745,Axis Mutual Fund,Liquid Fund,Regular,IDCW
100763,Axis Mutual Fund,Liquid Fund,Regular,Growth
100767,Axis Mutual Fund,Liquid Fund,Regular,IDCW
100783,Axis Mutual Fund,Liquid Fund,Direct,Growth
100801,Axis Mutual Fund,Liquid Fund,Regular,IDCW
100814,Axis Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
100841,Axis Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
100859,Axis Mutual Fund,Aggressive Hybrid Fund,Regular,IDCW
100871,Axis Mutual Fund,Aggressive Hybrid Fund,Direct,Growth
100883,Axis Mutual Fund,Aggressive Hybrid Fund,Direct,IDCW
100897,HDFC Mutual Fund,Large Cap Fund,Regular,IDCW
100901,HDFC Mutual Fund,Large Cap Fund,Direct,Growth
100916,HDFC Mutual Fund,Large Cap Fund,Direct,Growth
100944,HDFC Mutual Fund,Large Cap Fund,Direct,IDCW
100971,HDFC Mutual Fund,Large Cap Fund,Direct,IDCW
100996,HDFC Mutual Fund,Mid Cap Fund,Regular,Growth
101008,HDFC Mutual Fund,Mid Cap Fund,Regular,IDCW
101033,HDFC Mutual Fund,Mid Cap Fund,Direct,IDCW
101062,HDFC Mutual Fund,Mid Cap Fund,Regular,IDCW
101075,HDFC Mutual Fund,Mid Cap Fund,Direct,IDCW
101098,HDFC Mutual Fund,Small Cap Fund,Direct,Growth
101119,HDFC Mutual Fund,Small Cap Fund,Regular,Growth
101125,HDFC Mutual Fund,Small Cap Fund,Direct,IDCW
101150,HDFC Mutual Fund,Small Cap Fund,Regular,IDCW
101179,HDFC Mutual Fund,Small Cap Fund,Direct,IDCW
101193,HDFC Mutual Fund,Liquid Fund,Regular,IDCW
101205,HDFC Mutual Fund,Liquid Fund,Direct,Growth
101221,HDFC Mutual Fund,Liquid Fund,Direct,IDCW
101237,HDFC Mutual Fund,Liquid Fund,Regular,Growth
101260,HDFC Mutual Fund,Liquid Fund,Regular,Growth
101277,HDFC Mutual Fund,Aggressive Hybrid Fund,Regular,IDCW
101299,HDFC Mutual Fund,Aggressive Hybrid Fund,Regular,Growth
